,Role,Description
11,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
12,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
13,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
14,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
15,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
16,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Operations, or related fields.
Interest in the Internet and Google's technology and business.
Ability to develop and implement ideas in a changing environment. Ability to resolve business issues.
Demonstrated critical thinking skills and independent motivation.
Excellent project management, interpersonal analytical and organizational skills"
17,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
18,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
19,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
20,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
21,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
22,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
23,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Operations, or related fields.
Interest in the Internet and Google's technology and business.
Ability to develop and implement ideas in a changing environment. Ability to resolve business issues.
Demonstrated critical thinking skills and independent motivation.
Excellent project management, interpersonal analytical and organizational skills"
24,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
25,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
26,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
27,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
28,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
29,Administrative-Intern,"Work experience prior to the MBA program in Sales, Advertising, Consulting, Analysis, Customer Service, Marketing, Finance, Technical Sales and Operations, or related fields.
Demonstrated problem-solving skills, with the ability to handle highly strategic and challenging business problems.
Demonstrated interest in the Internet and Google's technology and business.
Ability to operate as a self-starter and independent thinker.
Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a changing environment.
Effective written and verbal communication skills."
30,Business Strategy,"10 years of experience in an analytically-intensive role, such as management consulting, investment banking, business intelligence, data science, or corporate strategy
Experience building software products, either as a product manager or engineer
Background in computer science, statistics, machine learning, or financial analysis.
Additional statistical analysis experience (e.g. R, Python, STATA, MATLAB) or expertise in the data analysis workflow (data mining, statistical analysis, etc.)"
31,Business Strategy,"Experience in a role requiring rigorous analytical problem solving, quantitative analysis, and communicating findings to management.
Experience in team management, with the ability to work across teams, build relationships and influence management.
Ability to work through ambiguity in a fast-changing environment, with an entrepreneurial approach.
Excellent written and oral communication and interpersonal skills."
32,Business Strategy,"MBA, Master's degree or PhD in a Management, Technical or Engineering field.
Experience vending Amazon Web Services and Microsoft Azure to enterprises.
Experience building lasting relationships with key accounts, with the ability to work towards strategic goals in a fast-paced team environment.
Background in a Sales, Technical Sales, Technical Product Marketing, Product Growth and/or Business Development role.
Effective communication, consultation and technical skills with expertise in cloud technologies."
33,Business Strategy,"MBA or Master's degree in Computer Science, Engineering or related field.
Ability to communicate and influence effectively by presenting data in a compelling way.
Effective problem solving and analysis skills, and impeccable business judgment.
Excellent spreadsheet software, financial modeling and presentation software skills."
34,Business Strategy,"Proficiency with SQL and Dremel, and familiarity with dashboard tools such as Duplos, Dasnav and/or Tableau.
Ability to pay attention to detail while handling multiple, simultaneous projects, with strong business acumen and the ability to navigate and influence personalities within a complex business environment.
Effective problem-solving and project management skills, and expertise implementing strategic and operational initiatives.
Excellent communication and facilitation skills."
35,Business Strategy,"10 years of experience in an analytically-intensive role, such as management consulting, investment banking, business intelligence, data science, or corporate strategy
Experience building software products, either as a product manager or engineer
Background in computer science, statistics, machine learning, or financial analysis.
Additional statistical analysis experience (e.g. R, Python, STATA, MATLAB) or expertise in the data analysis workflow (data mining, statistical analysis, etc.)"
36,Business Strategy,"Ability to deal with ambiguity, overcome complex challenges and scale effectively across a large and highly distributed organization.
Excellent verbal and written communication skills, with the ability to craft precise and compelling stories in both presentation and memo formats.
Effective project management, leadership and influencing skills."
37,Business Strategy,"BA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences)
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows
Work experience in an inter-disciplinary/cross-functional field.
Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
Distinctive problem solving skills and impeccable business judgment.
Capable of translating analysis results into business recommendations. Strong written and verbal communication skills."
38,Business Strategy,"MBA or equivalent extensive strategy experience.
Ability to lead and handle multiple time-sensitive projects.
Passion for mobile devices.
Creative, results driven, business minded, and collaborative.
Excellent communication skills with the ability to turn a high level concept into a well defined narrative with executive ready materials."
39,Business Strategy,"PhD degree in a quantitative discipline (e.g., statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering).
12 years of directly relevant, tech industry work experience (e.g., as a statistician / bioinformatician / data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods. Analytical engagements outside class work while at school can be included.
8 years of demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques, including people management.
Applied experience with machine learning on large datasets.
Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations.
Demonstrated skills in selecting the right statistical tools given a data analysis problem. Demonstrated effective written and verbal communication skills."
40,Business Strategy,"MBA and/or graduate degree.
Experience partnering effectively with cross-functional teams or projects.
Experience working with external C-level partners and an understanding of consumer products including retail distribution.
Ability to work across multiple functions - including Sales, Communications, Finance, with working knowledge of Product, Engineering, Marketing, Legal, HR and Operations.
Ability to effectively influence and communicate cross-functionally with all levels of management with exceptional verbal and written communication skills.
Effective Program Management skills, with demonstrated ability to lead complex strategic and operational initiatives."
41,Business Strategy,"MBA.
10 years of marketing experience with 2 years of push (email/notifications) marketing and/or CRM experience,
Understanding of how to target messaging and visuals to market and channel."
42,Business Strategy,"MBA, Master's degree or PhD in a Management, Technical or Engineering field.
Experience vending Amazon Web Services and Microsoft Azure to enterprises.
Experience building lasting relationships with key accounts, with the ability to work towards strategic goals in a fast-paced team environment.
Background in a Sales, Technical Sales, Technical Product Marketing, Product Growth and/or Business Development role.
Effective communication, consultation and technical skills with expertise in cloud technologies."
43,Business Strategy,"BA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences)
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows
Work experience in an inter-disciplinary/cross-functional field.
Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
Distinctive problem solving skills and impeccable business judgment.
Capable of translating analysis results into business recommendations. Strong written and verbal communication skills."
44,Business Strategy,"MBA, Master's degree or PhD in a Management, Technical or Engineering field.
6 years of relevant work experience in a project management role at a management consulting firm or investment bank, or equivalent experience in a corporate role focused on strategic advisory (for example, an in-house corporate strategy or corporate development role).
Experience partnering with data science teams to develop predictive models and manage large data sets.
Experience working with high-growth technology clients, with the ability to manage ambitious strategic operationally complex projects with cross-functional teams.
Effective business judgment, along with a natural inclination to formulate hypotheses, design tests, and use problem-solving techniques to evaluate solutions."
45,Business Strategy,"BA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences).
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows.
Work experience in an inter-disciplinary/cross-functional field.
Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
Distinctive problem solving skills and impeccable business judgment.
Capable of translating analysis results into business recommendations. Strong written and verbal communication skills."
46,Business Strategy,"MBA, Master's degree or PhD in a Business related field.
Experience coding with SQL and/or AppSript.
Experience implementing and managing programs, designing and implementing processes/controls, with a background in the internet industry.
Experience engaging with and crafting communications.
Familiarity/background in system implementations (CRM, accounting, process workflows, etc).
Excellent quantitative, editorial and presentation skills; innovative, organized, thorough, and detail-oriented."
47,Business Strategy,"Successful track record of developing business plans, setting and supporting delivery against OKRs.
Proven success in project management and execution, multi-tasking and delegating.
Excellent written and verbal communication skills, strong stakeholder management and influencing skills."
48,Business Strategy,"MBA, MS or other advanced degree.
Experience presenting to executives and analyzing large quantities of data with strong spreadsheet and database query experience (e.g., SQL).
Track record of thought leadership in applying data-driven models that have had a tangible impact on sales and marketing operations across international markets.
Ability to strategically analyze and synthesize data in order to develop useful formats and actionable insights.
Ability to consistently deliver quality outputs in a fast-paced environment, with an ability to work to tight deadlines. Extremely well-organized and capable of handling multiple projects and ad-hoc requests simultaneously.
Ability to work in and contribute to a fun, fast-paced, high impact and dynamic environment."
49,Business Strategy,"4 years of relevant work experience.
Experience at a management consulting firm, corporate strategy organization or technology-focused banking organization.
Early stage company experience.
Excellent problem-solving and analytical skills, with impeccable business judgment.
Effective modeling and presentation skills.
Excellent communication and interpersonal skills, with the ability to be personable yet persistent."
50,Business Strategy,"MBA degree.
Consulting experience.
Product or technical experience.
Collaborative leader with proven track record of delivering business results while building commitments.
Strong problem solver."
51,Business Strategy,"Experience developing learning needs analysis to map audience curriculum needs.
Experience designing curriculum assessments and shaping certification strategies.
Proven experience leading the design effort for strategic/flagship educational projects.
Ability to analyze, evaluate, plan and execute work on time and on budget.
Ability to address the needs of competing priorities and deadlines.
Strong team leadership, team building, mentoring and written/verbal communication skills."
52,Business Strategy,"3 years of experience with partnerships and strategy consulting.
Experience presenting to senior-level audiences.
Demonstrated ability to work with cross-functional teams and build strong relationships across internal teams.
Demonstrated project management skills.
Excellent problem-solving and analytical skills, combined with impeccable business judgment.
Excellent written and verbal communication skills."
53,Business Strategy,"MBA, Master's degree or PhD.
Experience working with statistics and experiment design.
Familiarity within the nonprofit sector.
Demonstrated ability to strategically analyze and synthesize data into actionable insights.
Effective spreadsheet and database query skills (e.g. SQL, etc)."
54,Business Strategy,"Demonstrated understanding of statistical modeling techniques. Ability to effectively influence and communicate cross-functionally across all levels.
Demonstrated accountability, with the ability to take ownership of the end-to-end project life cycle.
Creative, results-driven, business minded, and collaborative, with the ability to seamlessly move between strategy and execution.
Excellent written and verbal communication and presentation skills, with the ability to comfortably interact with technical and non-technical groups, partners and Google’s executive management."
55,Business Strategy,"Relevant PhD research or work experience.
Demonstrated familiarity with both Classical and Bayesian inference.
Familiarity with experimental design principles.
Ability to draw conclusions from data and recommend actions. Demonstrated interest and aptitude in data, metrics, analysis and trends.
Demonstrated willingness to both teach others and to learn new techniques.
Excellent problem-solving capabilities and critical thinking skills."
56,Business Strategy,"Demonstrated project management experience.
Ability to be creative in using data to drive business decisions.
Ability to lead and handle multiple time-sensitive projects.
Strong business acumen and the ability to successfully navigate and influence within a complex and matrixed business environment.
Strategic business planning skills.
Excellent communication, interpersonal, and presentation skills. Analytical and detail-oriented skills with the ability to clarify and summarize complex issues."
57,Business Strategy,"BA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences)
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows
Work experience in an inter-disciplinary/cross-functional field.
Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
Distinctive problem solving skills and impeccable business judgment.
Capable of translating analysis results into business recommendations. Strong written and verbal communication skills."
58,Business Strategy,"Experience or internship in sales, customer support, account management, business analysis, marketing or consulting, in the technology industry.
Technically minded, with a understanding of the technology and cloud computing market, and a passion for Google Cloud products (G Suite, Google Cloud Platform).
Ability to effectively operate with high energy and flexibility in a fast-paced, constantly evolving team environment.
Ability to build influential relationships and deliver results in a cross-functional/matrixed environment.
Goal oriented, self-motivated individual who is confident, thorough, tenacious with strong analytical skills. Demonstrated organizational and project management capabilities.
Strong communication and presentation skills, both written and verbal."
59,Business Strategy,"MBA or PhD degree.
Experience working with third-party research partners.
Deep industry experience in one or more vertical: Online (Apps, E-Commerce, Entertainment), CPG/Retail, Tech/Telco, Financial Services, Travel, Hospitality
Knowledge of Google media solutions (Search, Display, Video, Apps) and competitor products
Proficiency in database management (SQL) and/or statistical modeling (SPSS)"
60,Business Strategy,"MBA or graduate degree in a management, technical or engineering field.
6 years of relevant work experience in consulting; software, internet and/or media industries.
Experience leading complex operational and strategic initiatives.
Distinctive problem-solving and analysis skills, combined with impeccable business judgment.
Ability to present to executives and communicate with a highly technical management team.
Excellent written and oral communication and interpersonal skills."
61,Business Strategy,"BA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences)
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows
Work experience in an inter-disciplinary/cross-functional field.
Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
Distinctive problem solving skills and impeccable business judgment.
Capable of translating analysis results into business recommendations. Strong written and verbal communication skills."
62,Business Strategy,"Experience working with quantitative and qualitative research methods.
Effective project management skills, with the ability to operate in a fast-paced organization. Ability to map customer journeys.
Entrepreneurial, with a passion to change the ‘established’ way of doing things.
Strong influencing, interpersonal and networking skills, with the ability to work with both technical and business stakeholders across multiple functions and at multiple levels, as well as with peers.
Excellent problem-solving and analytical skills, with a demonstrated ability to handle complex work."
63,Business Strategy,"Master's degree in a quantitative field (Statistics, Computer Science, Engineering, Mathematics).
Experience in coding with Java, C++, Python, PHP or similar language.
Experience in translating analysis results into business recommendations and business questions into an analysis framework.
Knowledge of measurement, statistics and program evaluation, with an interest and aptitude in data, metrics, analysis and trends.
Excellent problem-solving capabilities and critical thinking skills.
Effective analytical, and communication skills with impeccable business judgment."
64,Business Strategy,"MA/MS degree.
Agile/CREO/Windchill implementation experience.
Mechanical Engineering background.
Detailed knowledge of Supply Chain Processes, systems background related to supply chain and relational databases.
Familiarity with PLM industry best practices.
Ability to deal with ambiguity and thrive in a rapidly changing business environment."
65,Business Strategy,"BA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences).
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows.
Work experience in an inter-disciplinary/cross-functional field.
Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
Distinctive problem solving skills and impeccable business judgment.
Capable of translating analysis results into business recommendations. Strong written and verbal communication skills."
66,Business Strategy,"Ability to lead and handle multiple time-sensitive projects.
Creative and results driven, the ability to zoom from strategy to execution, business minded and collaborative.
Outstanding analytical skills and strong understanding of statistical modeling techniques.
Superb communication skills, the ability to comfortably interact with both partner’s and Google’s executive management."
67,Business Strategy,"MBA, MS or other advanced degree.
Experience in SaaS, cloud platform, telecommunications, and/or IT infrastructure businesses.
Experience building and managing a team, and building key cross-functional relationships (product management, implementation, legal, finance, marketing, etc.).
Strong attention to detail, highly entrepreneurial, creative, open-minded, persistent, highly collaborative and passion for and understanding of Google products
Excellent interpersonal and communication skills to formulate and articulate contractual, technical, financial and value points with partners.
Ability to travel 20%."
68,Business Strategy,"Demonstrated analytical and problem-solving skills: Experience and comfort with large data sets and strong data analytics skills. Distinctive problem solving and analysis skills, combined with impeccable business judgment.
A proven ability to be successful in a complex, globally scaled product, sales and engineering environment; experience planning and managing at both the strategic and operational level. Organized, detail-oriented and strategically focused.
Knowledge of cloud technologies, products, and market landscape.
Distinctive analytical skills and superior ability to present to executives and communicate with highly technical management teams."
69,Business Strategy,"Experience with classification systems, ranking systems or similar.
Experience collecting, managing and synthesizing large data sets and information from disparate sources, statistical modeling, data mining and data analysis.
Consultative problem solving and excellent project management experience coupled with strengths in data management, metrics analysis, experiment design and automation.
Highly analytical with strong demonstrated track record of problem solving and a quantitative mind, capable of translating analytical insights into business strategies and actions.
Demonstrate high-level product and policy knowledge, the ability to both understand and design training roadmaps and an ability to communicate and persuade between multiple levels.
A proven history of creating opportunities to innovate and seeing them through to completion is critical, especially when working in complex international and multifunctional teams."
70,Business Strategy,"Project management experience.
Strong product knowledge and interest in keeping up with latest relevant technology.
Understanding of statistical modeling techniques.
Ability to lead and handle multiple time-sensitive projects.
Excellent analytical skills.
Excellent communication skills, with the ability to comfortably interact with partners and executive management."
71,Business Strategy,"10 years of experience in an analytically-intensive role, such as management consulting, investment banking, business intelligence, data science, or corporate strategy
Experience building software products, either as a product manager or engineer
Background in computer science, statistics, machine learning, or financial analysis.
Additional statistical analysis experience (e.g. R, Python, STATA, MATLAB) or expertise in the data analysis workflow (data mining, statistical analysis, etc.)"
72,Business Strategy,"Experience in a role requiring rigorous analytical problem solving, quantitative analysis, and communicating findings to management.
Experience in team management, with the ability to work across teams, build relationships and influence management.
Ability to work through ambiguity in a fast-changing environment, with an entrepreneurial approach.
Excellent written and oral communication and interpersonal skills."
73,Business Strategy,"MBA or graduate degree in a management, technical or engineering field.
6 years of relevant work experience in consulting; software, internet and/or media industries.
Experience leading complex operational and strategic initiatives.
Distinctive problem-solving and analysis skills, combined with impeccable business judgment.
Ability to present to executives and communicate with a highly technical management team.
Excellent written and oral communication and interpersonal skills."
74,Business Strategy,"MBA.
Experience managing senior stakeholders in a matrixed organization.
Experience working in a scaled environment in inside-sales, IT sales, marketing or operations.
Proven ability to deliver projects on time and to budget, and ability to effectively operate with enthusiasm and flexibility in a fast-paced, constantly evolving team environment.
Ability to initiate manage multiple complex, cross functional projects with minimal guidance. Ability to translate analysis and insights into actionable business plans.
Demonstrated organizational, problem solving, project management, interpersonal and leadership skills."
